14:02:41.151 ->  Requesting temperatures ... Done!
14:02:41.848 -> 24.25 Requesting temperatures ... Done!
14:02:43.572 -> 24.25 Requesting temperatures ... Done!
14:02:45.298 -> 24.25 Requesting temperatures ... Done!
14:02:47.025 -> 24.25 Requesting temperatures ... Done!
14:02:48.751 -> 24.31 Requesting temperatures ... Done!
14:02:50.478 -> 24.31 Requesting temperatures ... Done!
14:02:52.205 -> 24.31 Requesting temperatures ... Done!
14:02:53.932 -> 24.31 Requesting temperatures ... Done!
14:02:55.659 -> 24.31 Requesting temperatures ... Done!
14:02:57.386 -> 24.31 Requesting temperatures ... Done!
14:02:59.112 -> 24.25 Requesting temperatures ... Done!
14:03:00.806 -> 24.06 Requesting temperatures ... Done!
14:03:02.533 -> 23.75 Requesting temperatures ... Done!
14:03:04.259 -> 23.25 Requesting temperatures ... Done!
14:03:05.986 -> 22.69 Requesting temperatures ... Done!
14:03:07.713 -> 22.00 Requesting temperatures ... Done!
14:03:09.439 -> 21.50 Requesting temperatures ... Done!
14:03:11.166 -> 21.25 Requesting temperatures ... Done!
14:03:12.893 -> 21.00 Requesting temperatures ... Done!
14:03:14.620 -> 20.75 Requesting temperatures ... Done!
14:03:16.347 -> 20.56 Requesting temperatures ... Done!
14:03:18.073 -> 20.38 Requesting temperatures ... Done!
14:03:19.800 -> 20.19 Requesting temperatures ... Done!
14:03:21.527 -> 20.00 Requesting temperatures ... Done!
14:03:23.252 -> 19.81 Requesting temperatures ... Done!
14:03:24.944 -> 19.63 Requesting temperatures ... Done!
14:03:26.671 -> 19.38 Requesting temperatures ... Done!
14:03:28.398 -> 19.19 Requesting temperatures ... Done!
14:03:30.125 -> 18.94 Requesting temperatures ... Done!
14:03:31.852 -> 18.69 Requesting temperatures ... Done!
14:03:33.578 -> 18.50 Requesting temperatures ... Done!
14:03:35.304 -> 18.25 Requesting temperatures ... Done!
14:03:37.031 -> 18.00 Requesting temperatures ... Done!
14:03:38.758 -> 17.75 Requesting temperatures ... Done!
14:03:40.557 -> 17.50 Requesting temperatures ... Done!
14:03:42.222 -> 17.25 Requesting temperatures ... Done!
14:03:43.905 -> 16.94 Requesting temperatures ... Done!
14:03:45.673 -> 16.69 Requesting temperatures ... Done!
14:03:47.431 -> 16.44 Requesting temperatures ... Done!
14:03:49.191 -> 16.25 Requesting temperatures ... Done!
14:03:50.910 -> 16.00 Requesting temperatures ... Done!
14:03:52.681 -> 15.81 Requesting temperatures ... Done!
14:03:54.437 -> 15.63 Requesting temperatures ... Done!
14:03:56.154 -> 15.44 Requesting temperatures ... Done!
14:03:57.913 -> 15.31 Requesting temperatures ... Done!
14:03:59.673 -> 15.19 Requesting temperatures ... Done!
14:04:01.436 -> 15.06 Requesting temperatures ... Done!
14:04:03.158 -> 15.00 Requesting temperatures ... Done!
14:04:04.918 -> 14.94 Requesting temperatures ... Done!
14:04:06.677 -> 14.88 Requesting temperatures ... Done!
14:04:08.403 -> 14.81 Requesting temperatures ... Done!
14:04:10.162 -> 14.81 Requesting temperatures ... Done!
14:04:11.921 -> 14.75 Requesting temperatures ... Done!
14:04:13.679 -> 14.75 Requesting temperatures ... Done!
14:04:15.405 -> 14.75 Requesting temperatures ... Done!
14:04:17.165 -> 14.81 Requesting temperatures ... Done!
14:04:18.924 -> 14.81 Requesting temperatures ... Done!
14:04:20.650 -> 14.81 Requesting temperatures ... Done!
14:04:22.409 -> 14.88 Requesting temperatures ... Done!
14:04:24.168 -> 14.94 Requesting temperatures ... Done!
14:04:25.928 -> 14.94 Requesting temperatures ... Done!
14:04:27.653 -> 15.06 Requesting temperatures ... Done!
14:04:29.412 -> 15.13 Requesting temperatures ... Done!
14:04:31.176 -> 15.25 Requesting temperatures ... Done!
14:04:32.898 -> 15.31 Requesting temperatures ... Done!
14:04:34.657 -> 15.44 Requesting temperatures ... Done!
14:04:36.416 -> 15.56 Requesting temperatures ... Done!
14:04:38.175 -> 15.69 Requesting temperatures ... Done!
14:04:39.901 -> 15.81 Requesting temperatures ... Done!
14:04:41.660 -> 15.94 Requesting temperatures ... Done!
14:04:43.420 -> 16.06 Requesting temperatures ... Done!
14:04:45.146 -> 16.25 Requesting temperatures ... Done!
14:04:46.904 -> 16.38 Requesting temperatures ... Done!
14:04:48.663 -> 16.50 Requesting temperatures ... Done!
14:04:50.422 -> 16.63 Requesting temperatures ... Done!
14:04:52.148 -> 16.75 Requesting temperatures ... Done!
14:04:53.907 -> 16.88 Requesting temperatures ... Done!
14:04:55.666 -> 17.00 Requesting temperatures ... Done!
14:04:57.425 -> 17.13 Requesting temperatures ... Done!
14:04:59.151 -> 17.31 Requesting temperatures ... Done!
14:05:00.877 -> 17.38 Requesting temperatures ... Done!
14:05:02.602 -> 17.44 Requesting temperatures ... Done!
14:05:04.328 -> 17.44 Requesting temperatures ... Done!
14:05:06.053 -> 17.38 Requesting temperatures ... Done!
14:05:07.779 -> 17.31 Requesting temperatures ... Done!
14:05:09.506 -> 17.19 Requesting temperatures ... Done!
14:05:11.231 -> 17.06 Requesting temperatures ... Done!
14:05:12.957 -> 16.94 Requesting temperatures ... Done!
14:05:14.682 -> 16.81 Requesting temperatures ... Done!
14:05:16.440 -> 16.69 Requesting temperatures ... Done!
14:05:18.199 -> 16.56 Requesting temperatures ... Done!
14:05:19.957 -> 16.44 Requesting temperatures ... Done!
14:05:21.682 -> 16.31 Requesting temperatures ... Done!
14:05:23.440 -> 16.25 Requesting temperatures ... Done!
14:05:25.199 -> 16.25 Requesting temperatures ... Done!
14:05:26.957 -> 16.25 Requesting temperatures ... Done!
14:05:28.683 -> 16.25 Requesting temperatures ... Done!
14:05:30.441 -> 16.25 Requesting temperatures ... Done!
14:05:32.200 -> 16.25 Requesting temperatures ... Done!
14:05:33.958 -> 16.25 Requesting temperatures ... Done!
14:05:35.684 -> 16.31 Requesting temperatures ... Done!
14:05:37.442 -> 16.31 Requesting temperatures ... Done!
14:05:39.200 -> 16.38 Requesting temperatures ... Done!
14:05:40.959 -> 16.38 Requesting temperatures ... Done!
14:05:42.685 -> 16.44 Requesting temperatures ... Done!
14:05:44.443 -> 16.50 Requesting temperatures ... Done!
14:05:46.202 -> 16.56 Requesting temperatures ... Done!
14:05:47.960 -> 16.63 Requesting temperatures ... Done!
14:05:49.686 -> 16.69 Requesting temperatures ... Done!
14:05:51.444 -> 16.81 Requesting temperatures ... Done!
14:05:53.203 -> 16.88 Requesting temperatures ... Done!
14:05:54.962 -> 17.00 Requesting temperatures ... Done!
14:05:56.720 -> 17.13 Requesting temperatures ... Done!
14:05:58.446 -> 17.19 Requesting temperatures ... Done!
